Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,75,33,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,93,28,Male,University,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,74,32,Male,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,134,20,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,133,25,Female,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,130,38,Female,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,108,26,Female,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,111,33,Female,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,125,27,Female,University,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,163,24,Male,University,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,159,,Male,,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,164,46,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,214,36,Male,,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,206,26,Female,University,No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,179,36,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,182,42,Male,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,183,32,Male,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,195,27,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,127,26,Male,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",No problem,197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,215,20,Female,University,Yes,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,221,50,Female,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",,216,,Female,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Problem,218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Small problem,166,40,Male,E.P.P (ambaratonga voalohany),No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,128,27,Female,Tsy mianatra,No,No,skills
"if I need help with paperwork for the duck husbandry project, knowing where I can get that support",Big problem,129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,skills
"If so, how.",Tsy mahasaka,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Amie sakafoe,86,31,Male,Tsy mianatra,No,No,
"If so, how.","Fiteiza aze,",105,34,Female,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,75,33,Male,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Laha maro ie mety hanahira ahy fila ty hanie satsia ie Mila mihina avao just farae,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Za raha haniko avao koa ro hanie,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Sakafo, fitaiza amy kelikely",90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Sakafo manahira,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Tsy sarotse amiko fa satria fa nihare zaho taloha.,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Girigiry io mora,tsy sarotse teiza.",106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Ts manahira azy andavanandro ty fanaova azy,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,
"If so, how.",,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Amie halatre,93,28,Male,University,No,Yes,
"If so, how.",Amie sakafoe mety tsy arake,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,
"If so, how.",Mety Manahira ahy ty fila hanie,74,32,Male,Tsy mianatra,No,No,
"If so, how.",Tsy mifily raha hane,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mifily raha hane,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,134,20,Male,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,133,25,Female,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",,130,38,Female,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Tsy sarotse ty fagnaraha maso aze,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria afake atao Amy ze fotoa mamplalake antegna.,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Satria zahay misy fotoa mandeha.,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria tsy miola.,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Mety ho sarotre amiko laha tsy misy fampianara mikasike raha zay.,108,26,Female,E.P.P (ambaratonga voalohany),No,No,
"If so, how.",Tsy mAnkasatre satria voro tsy miola.,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Jala azotó avy Amy raha io mety avadiko sakafoe avao koa laha hoe sakafoe ro manahira.,111,33,Female,Tsy mianatra,No,No,
"If so, how.",Mora mora ho ahy ty fameloma aze sy fikarakara aze.,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Tsy mankasarotre satria, raha reo mora teiza no sady tsy mampanahira.",101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Amy ty sakafoe,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Sakafoe,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Amy sakafoe,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Sakafo,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Sakafoe,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Sakafoe,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Amy ty hanie,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy hankasarotry fiaina fa hanampy,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria mety handay famonoa olo am ty mpangalatry,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mankasarotry Amy fiaina andavanandro,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy makasarotse zao,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",Tsy mankasarotry ty fiaina fa asa f mahazatry olo,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mankasarotry zao,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Ts mankasarotry fa raha ts sarotry hare,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Satria raha tsy de vaovao ho any olo,125,27,Female,University,No,Yes,
"If so, how.",Ts mahasaka am ty raha atao,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Lafa misy sakafo avao ie tsisarotse zao,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Tsy mankasarotry fa raha fa iaina andavanandro,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Manahira amy ty halatry atao ty olo azy,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Mety hisy halatry , fe hafa avao ty mihary",238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Lafa misy sakafo avao rahareo de tsy makasarotse zao fa laha tsimisy any zay sakafo zay ie ro mety hanahira kely,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Lafa misy sakafo avao ie de moramora avao,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Tsy manahira fa voro tsy sarotry hare,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Ty mpangalatry miha maro,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Te hahay ka miezake hikolokoloa aze,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"If so, how.",,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Fikarakara ty hanie noho ty fitsaboa aze lafa marare,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,
"If so, how.",Amy hanie,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Amy fikarakara ty sakafoe,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Sahira kely tegna amy hanie,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Tsy mampanahira ahe ty mihare aze, afake avily ty atoly’e i ilia ty hanie.",160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.",Sakafo ro Tena probleme.,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
"If so, how.","Satria Tena fa mihare avao koa, de fa manana methode amin’izay fiharea zay.",163,24,Male,University,No,Yes,
"If so, how.",Tsy mankasarotre ahy satria zaho fa mihare avao koa. Magnampy ty fiaina. Manahira avao koa Amy resaky sakafo. Mamarotre atoly mba atao goute ty aja mianatre.,159,,Male,,No,Yes,
"If so, how.",Mamelom-po aho mbo miompy koa.,164,46,Male,E.P.P (ambaratonga voalohany),No,No,
